Mõõtepunkti kood;38ZEE-00172315-C,N/A
Mõõtepunkti aadress;Peetri,N/A
;,
;,
Periood;Tarbitud energia (võrgust) / kWh,
01.01.2023 00:00;1,368
01.01.2023 01:00;0,569
01.01.2023 02:00;0,573
01.01.2023 03:00;0,503
01.01.2023 04:00;0,554
01.01.2023 05:00;0,611
01.01.2023 06:00;0,536
01.01.2023 07:00;0,56
01.01.2023 08:00;0,51
01.01.2023 09:00;0,536
01.01.2023 10:00;0,351
01.01.2023 11:00;1,103
01.01.2023 12:00;0,42
01.01.2023 13:00;1,1
01.01.2023 14:00;2,67
01.01.2023 15:00;2,295
01.01.2023 16:00;1,559
01.01.2023 17:00;1,785
01.01.2023 18:00;5,225
01.01.2023 19:00;3,509
01.01.2023 20:00;3,203
01.01.2023 21:00;2,744
01.01.2023 22:00;1,37
01.01.2023 23:00;0,767
02.01.2023 00:00;0,747
02.01.2023 01:00;0,715
02.01.2023 02:00;0,796
02.01.2023 03:00;1,315
02.01.2023 04:00;0,834
02.01.2023 05:00;0,968
02.01.2023 06:00;0,633
02.01.2023 07:00;0,569
02.01.2023 08:00;0,455
02.01.2023 09:00;0,327
02.01.2023 10:00;0,321
02.01.2023 11:00;0,324
02.01.2023 12:00;0,318
02.01.2023 13:00;0,944
02.01.2023 14:00;0,626
02.01.2023 15:00;0,683
02.01.2023 16:00;0,777
02.01.2023 17:00;0,637
02.01.2023 18:00;1,49
02.01.2023 19:00;1,33
02.01.2023 20:00;1,6
02.01.2023 21:00;1,31
02.01.2023 22:00;0,844
02.01.2023 23:00;0,711
03.01.2023 00:00;0,683
03.01.2023 01:00;0,688
03.01.2023 02:00;0,7
03.01.2023 03:00;0,715
03.01.2023 04:00;0,758
03.01.2023 05:00;0,744
03.01.2023 06:00;0,82
03.01.2023 07:00;0,751
03.01.2023 08:00;0,577
03.01.2023 09:00;0,377
03.01.2023 10:00;0,378
03.01.2023 11:00;0,383
03.01.2023 12:00;0,381
03.01.2023 13:00;0,533
03.01.2023 14:00;0,462
03.01.2023 15:00;0,531
03.01.2023 16:00;0,619
03.01.2023 17:00;0,637
03.01.2023 18:00;0,669
03.01.2023 19:00;2,47
03.01.2023 20:00;0,961
03.01.2023 21:00;0,878
03.01.2023 22:00;0,709
03.01.2023 23:00;0,653
04.01.2023 00:00;0,694
04.01.2023 01:00;2,947
04.01.2023 02:00;2,151
04.01.2023 03:00;1,488
04.01.2023 04:00;0,846
04.01.2023 05:00;0,841
04.01.2023 06:00;0,766
04.01.2023 07:00;0,639
04.01.2023 08:00;0,548
04.01.2023 09:00;0,417
04.01.2023 10:00;0,404
04.01.2023 11:00;0,42
04.01.2023 12:00;0,593
04.01.2023 13:00;0,838
04.01.2023 14:00;0,647
04.01.2023 15:00;0,617
04.01.2023 16:00;0,824
04.01.2023 17:00;0,785
04.01.2023 18:00;0,78
04.01.2023 19:00;1,959
04.01.2023 20:00;1,78
04.01.2023 21:00;0,91
04.01.2023 22:00;0,847
04.01.2023 23:00;0,796
05.01.2023 00:00;0,746
05.01.2023 01:00;0,781
05.01.2023 02:00;0,798
05.01.2023 03:00;0,812
05.01.2023 04:00;0,803
05.01.2023 05:00;1,72
05.01.2023 06:00;0,793
05.01.2023 07:00;0,701
05.01.2023 08:00;0,522
05.01.2023 09:00;0,419
05.01.2023 10:00;0,409
05.01.2023 11:00;0,41
05.01.2023 12:00;0,401
05.01.2023 13:00;0,381
05.01.2023 14:00;0,395
05.01.2023 15:00;0,396
